,open,high,low,close,volume
2026-05-04 09:15:00+05:30,24096.19921875,24245.849609375,24096.19921875,24156.150390625,0
2026-05-04 09:18:00+05:30,24158.150390625,24214.69921875,24158.150390625,24196.44921875,0
2026-05-04 09:21:00+05:30,24197.44921875,24207.150390625,24175.30078125,24182.75,0
2026-05-04 09:24:00+05:30,24181.80078125,24199.349609375,24164.099609375,24198.69921875,0
2026-05-04 09:27:00+05:30,24199.599609375,24220.400390625,24191.849609375,24214.55078125,0
2026-05-04 09:30:00+05:30,24215.599609375,24235.0,24194.69921875,24194.69921875,0
2026-05-04 09:33:00+05:30,24194.05078125,24248.0,24181.05078125,24244.0,0
2026-05-04 09:36:00+05:30,24245.05078125,24268.75,24232.099609375,24263.94921875,0
2026-05-04 09:39:00+05:30,24263.5,24289.19921875,24259.94921875,24283.25,0
2026-05-04 09:42:00+05:30,24283.69921875,24287.75,24268.5,24276.650390625,0
2026-05-04 09:45:00+05:30,24279.25,24283.80078125,24268.25,24276.94921875,0
2026-05-04 09:48:00+05:30,24277.400390625,24279.94921875,24258.400390625,24258.900390625,0
2026-05-04 09:51:00+05:30,24259.30078125,24264.150390625,24227.650390625,24228.30078125,0
2026-05-04 09:54:00+05:30,24228.25,24246.94921875,24225.25,24237.19921875,0
2026-05-04 09:57:00+05:30,24238.5,24248.099609375,24233.25,24246.19921875,0
2026-05-04 10:00:00+05:30,24247.25,24259.75,24231.55078125,24231.55078125,0
2026-05-04 10:03:00+05:30,24233.0,24237.349609375,24215.05078125,24235.099609375,0
2026-05-04 10:06:00+05:30,24234.599609375,24246.25,24222.0,24233.349609375,0
2026-05-04 10:09:00+05:30,24233.94921875,24236.599609375,24210.099609375,24210.099609375,0
2026-05-04 10:12:00+05:30,24210.25,24212.349609375,24172.44921875,24175.19921875,0
2026-05-04 10:15:00+05:30,24175.30078125,24190.400390625,24166.05078125,24167.849609375,0
2026-05-04 10:18:00+05:30,24168.650390625,24178.150390625,24164.650390625,24173.599609375,0
2026-05-04 10:21:00+05:30,24174.05078125,24180.849609375,24142.80078125,24149.19921875,0
2026-05-04 10:24:00+05:30,24149.0,24167.94921875,24149.0,24164.0,0
2026-05-04 10:27:00+05:30,24162.25,24196.849609375,24154.599609375,24196.650390625,0
2026-05-04 10:30:00+05:30,24197.5,24223.349609375,24197.150390625,24208.80078125,0
2026-05-04 10:33:00+05:30,24209.25,24211.099609375,24172.19921875,24191.55078125,0
2026-05-04 10:36:00+05:30,24190.30078125,24210.5,24184.19921875,24210.5,0
2026-05-04 10:39:00+05:30,24211.0,24218.0,24206.650390625,24214.44921875,0
2026-05-04 10:42:00+05:30,24214.5,24222.19921875,24207.849609375,24219.150390625,0
2026-05-04 10:45:00+05:30,24219.30078125,24225.150390625,24213.44921875,24218.69921875,0
2026-05-04 10:48:00+05:30,24217.599609375,24240.650390625,24216.25,24234.75,0
2026-05-04 10:51:00+05:30,24235.30078125,24237.099609375,24223.25,24224.55078125,0
2026-05-04 10:54:00+05:30,24223.099609375,24224.900390625,24199.5,24204.5,0
2026-05-04 10:57:00+05:30,24204.44921875,24208.55078125,24186.19921875,24187.25,0
2026-05-04 11:00:00+05:30,24188.30078125,24196.30078125,24175.650390625,24196.30078125,0
2026-05-04 11:03:00+05:30,24196.25,24208.55078125,24195.599609375,24206.44921875,0
