date,signal_time,direction,option_type,broken_level,breakout_time,breakout_price,reversal_price,speed_candles,confluence_score,nearby_levels,volume_ok,conviction,strike_hint,nifty_spot,trend_dir,trend_strength,adx,rev_quality,rev_metrics,day_structure,struct_metrics,trigger_type,strike,expiry_dt,days_to_expiry,T_years,iv_used,entry_premium,target_premium,sl_premium,greek_delta,greek_gamma,greek_theta,greek_vega,greek_rho,rrr_premium,fwd_sim_mean,fwd_sim_median,fwd_sim_p10,fwd_sim_p90,fwd_edge_pts,fwd_edge_pct,outcome,exit_time,exit_spot,exit_premium,hold_minutes,r_multiple,mfe_premium,mae_premium
2026-02-26,2026-02-26 15:05:00,long,CE,25428.2,2026-02-26 15:05:00,25428.2,25503.3,5,12,"PDL@25428.2, PWL@25372.7",True,HIGH,ATM (delta ~0.5),25503.3,bullish,weak,16.1,type_B_swing,"{'tested': 'PDL', 'hl_diff': np.float64(20.849609375)}",structure_reversed_HL_confirmed,"{'ll_run': 0, 'has_higher_low': True, 'retrace_pct': np.float64(0.81), 'recent_low': np.float64(25401.6), 'bounce_size': np.float64(101.7), 'n_swings_low': 5}",swing_low_reclaim,25500,2026-03-03 15:30:00,5.02,0.01374,0.1445,185.84,325.22,111.5,0.5279,0.000921,-19.5604,11.8955,1.824,1.87,186.97,180.67,112.47,264.8,1.13,0.61,time_stop,2026-02-26 15:15:00,25496.1,181.33,10.0,-0.061,185.84,176.57
2026-03-02,2026-03-02 14:05:00,long,CE,24718.55,2026-03-02 12:35:00,24691.5,24746.5,18,7,PML@24679.4,True,MEDIUM,ATM,24746.5,bullish,strong,57.69,strong_reversal,"{'hh_ratio': 1.0, 'lh_ratio': 0.0, 'rise_points': np.float64(142.55), 'rise_pct': np.float64(0.579), 'avg_range': np.float64(115.83), 'trough': np.float64(24603.95)}",strong_bounce(54%),"{'ll_run': 1, 'has_higher_low': False, 'retrace_pct': np.float64(0.538), 'recent_low': np.float64(24603.95), 'bounce_size': np.float64(142.55), 'n_swings_low': 2}",failed_breakout,24750,2026-03-03 15:30:00,1.06,0.0029,0.1496,80.16,140.28,48.1,0.5042,0.002001,-39.8292,5.3157,0.3594,1.88,81.4,66.66,16.44,161.65,1.24,1.54,target_hit,2026-03-02 14:40:00,24864.85,140.28,35.0,1.875,148.61,69.16
2026-03-02,2026-03-02 14:45:00,long,CE,24679.4,2026-03-02 14:45:00,24679.4,24872.15,5,7,PML@24679.4,True,HIGH,ATM (delta ~0.5),24872.15,bullish,strong,36.51,type_B_swing,"{'tested': 'PML', 'hl_diff': np.float64(118.55078125)}",structure_reversed_HL_confirmed,"{'ll_run': 0, 'has_higher_low': True, 'retrace_pct': np.float64(0.93), 'recent_low': np.float64(24603.95), 'bounce_size': np.float64(268.2), 'n_swings_low': 3}",swing_low_reclaim,24850,2026-03-03 15:30:00,1.03,0.00282,0.1496,92.97,162.69,55.78,0.5555,0.001998,-40.3979,5.2212,0.3875,1.88,94.32,79.43,20.8,182.94,1.35,1.46,time_stop,2026-03-02 15:15:00,24912.1,112.05,30.0,0.513,112.05,66.64
2026-03-04,2026-03-04 15:05:00,short,PE,24476.7,2026-03-04 14:05:00,24496.2,24472.2,12,5,,True,MEDIUM,ATM,24472.2,neutral,strong,45.14,strong_reversal,"{'lh_ratio': 1.0, 'hl_ratio': 0.0, 'drop_points': np.float64(129.8), 'drop_pct': np.float64(0.528), 'avg_range': np.float64(51.97), 'peak': np.float64(24602.0)}",strong_pullback(53%),"{'hh_run': 1, 'has_lower_high': False, 'retrace_pct': np.float64(0.531), 'recent_high': np.float64(24602.0), 'pullback': np.float64(129.8), 'n_swings_high': 4}",failed_breakout,24450,2026-03-10 15:30:00,6.02,0.01647,0.1541,169.41,296.47,101.65,-0.4557,0.000819,-13.8949,12.454,-1.8653,1.88,168.76,163.02,106.18,241.64,-0.65,-0.38,time_stop,2026-03-04 15:15:00,24456.9,175.92,10.0,0.096,175.92,169.41
2026-03-04,2026-03-04 15:05:00,short,PE,24496.2,2026-03-04 14:10:00,24556.45,24472.2,11,5,,True,MEDIUM,ATM,24472.2,neutral,strong,45.14,strong_reversal,"{'lh_ratio': 1.0, 'hl_ratio': 0.0, 'drop_points': np.float64(129.8), 'drop_pct': np.float64(0.528), 'avg_range': np.float64(51.97), 'peak': np.float64(24602.0)}",strong_pullback(53%),"{'hh_run': 1, 'has_lower_high': False, 'retrace_pct': np.float64(0.531), 'recent_high': np.float64(24602.0), 'pullback': np.float64(129.8), 'n_swings_high': 4}",failed_breakout,24450,2026-03-10 15:30:00,6.02,0.01647,0.1541,169.41,296.47,101.65,-0.4557,0.000819,-13.8949,12.454,-1.8653,1.88,168.76,163.02,106.18,241.64,-0.65,-0.38,time_stop,2026-03-04 15:15:00,24456.9,175.92,10.0,0.096,175.92,169.41
2026-03-06,2026-03-06 11:20:00,short,PE,24688.1,2026-03-06 11:20:00,24688.1,24600.15,5,7,PML@24679.4,True,HIGH,ATM (delta ~0.5),24600.15,neutral,moderate,23.93,type_B_swing,"{'tested': 'TDH', 'hl_diff': np.float64(26.951171875)}",structure_reversed_LH_confirmed,"{'hh_run': 0, 'has_lower_high': True, 'retrace_pct': np.float64(0.783), 'recent_high': np.float64(24688.1), 'pullback': np.float64(87.95), 'n_swings_high': 3}",swing_high_rejection,24600,2026-03-10 15:30:00,4.17,0.01143,0.1609,159.48,279.09,95.69,-0.4788,0.000942,-18.0322,10.476,-1.3642,1.88,158.78,151.47,90.31,239.86,-0.7,-0.44,time_stop,2026-03-06 12:50:00,24596.95,154.62,90.0,-0.076,165.6,142.09
2026-03-06,2026-03-06 11:45:00,long,CE,24575.75,2026-03-06 11:45:00,24575.75,24632.45,5,9,PDL@24529.4,True,HIGH,ATM (delta ~0.5),24632.45,neutral,strong,26.6,type_B_swing,"{'tested': 'TDL', 'hl_diff': np.float64(18.150390625)}",structure_reversed_HL_confirmed,"{'ll_run': 0, 'has_higher_low': True, 'retrace_pct': np.float64(0.505), 'recent_low': np.float64(24575.75), 'bounce_size': np.float64(56.7), 'n_swings_low': 3}",swing_low_reclaim,24650,2026-03-10 15:30:00,4.16,0.01138,0.1609,169.21,296.12,101.53,0.5045,0.000944,-22.5365,10.4821,1.3947,1.88,170.4,162.9,94.57,250.89,1.19,0.7,time_stop,2026-03-06 13:15:00,24597.8,144.4,90.0,-0.367,169.21,139.84
2026-03-06,2026-03-06 14:05:00,long,CE,24569.95,2026-03-06 13:55:00,24553.95,24584.9,2,9,PDL@24529.4,True,HIGH,ATM (delta ~0.5),24584.9,bearish,moderate,22.84,strong_reversal,"{'hh_ratio': 1.0, 'lh_ratio': 0.0, 'rise_points': np.float64(41.1), 'rise_pct': np.float64(0.167), 'avg_range': np.float64(29.3), 'trough': np.float64(24543.8)}",strong_bounce(37%),"{'ll_run': 1, 'has_higher_low': False, 'retrace_pct': np.float64(0.371), 'recent_low': np.float64(24543.8), 'bounce_size': np.float64(41.1), 'n_swings_low': 2}",failed_breakout,24600,2026-03-10 15:30:00,4.06,0.01111,0.1609,167.89,293.81,100.73,0.5063,0.000957,-22.7414,10.3381,1.3647,1.87,169.08,161.51,93.16,249.76,1.19,0.71,sl_hit,2026-03-06 15:10:00,24441.65,100.73,65.0,-1.0,180.45,99.77
2026-03-12,2026-03-12 11:15:00,short,PE,23719.8,2026-03-12 10:55:00,23741.6,23696.9,4,5,,True,MEDIUM,ATM,23696.9,bullish,moderate,22.56,strong_reversal,"{'lh_ratio': 1.0, 'hl_ratio': 0.5, 'drop_points': np.float64(76.75), 'drop_pct': np.float64(0.323), 'avg_range': np.float64(48.47), 'peak': np.float64(23773.65)}",strong_pullback(36%),"{'hh_run': 0, 'has_lower_high': False, 'retrace_pct': np.float64(0.356), 'recent_high': np.float64(23773.65), 'pullback': np.float64(76.75), 'n_swings_high': 1}",failed_breakout,23700,2026-03-17 15:30:00,5.18,0.01417,0.1778,190.56,333.49,114.34,-0.4805,0.000794,-17.208,11.2416,-1.6409,1.88,189.79,182.86,116.14,275.83,-0.77,-0.41,time_stop,2026-03-12 12:45:00,23722.1,172.57,90.0,-0.236,190.56,162.11
2026-03-16,2026-03-16 10:35:00,long,CE,23055.75,2026-03-16 10:25:00,23024.95,23057.7,2,12,"PDL@23112.0, PWL@23112.0",True,VERY HIGH,ITM-1 (deep delta ~0.6),23057.7,bearish,weak,7.9,strong_reversal,"{'hh_ratio': 1.0, 'lh_ratio': 0.0, 'rise_points': np.float64(32.75), 'rise_pct': np.float64(0.142), 'avg_range': np.float64(42.5), 'trough': np.float64(23024.95)}",structure_ok,"{'ll_run': 0, 'has_higher_low': False, 'retrace_pct': np.float64(0.126), 'recent_low': np.float64(23024.95), 'bounce_size': np.float64(32.75), 'n_swings_low': 0}",failed_breakout,23000,2026-03-17 15:30:00,1.2,0.0033,0.1882,133.81,234.16,80.28,0.6016,0.001548,-42.4469,5.1109,0.4532,1.87,135.47,120.0,39.71,245.47,1.66,1.24,time_stop,2026-03-16 12:05:00,23159.55,189.56,90.0,1.041,224.31,92.34
2026-03-16,2026-03-16 11:15:00,long,CE,23099.8,2026-03-16 10:20:00,23055.75,23187.75,11,12,"PDL@23112.0, PWL@23112.0",True,MEDIUM,ATM,23187.75,neutral,strong,43.35,strong_reversal,"{'hh_ratio': 1.0, 'lh_ratio': 0.0, 'rise_points': np.float64(232.2), 'rise_pct': np.float64(1.012), 'avg_range': np.float64(59.89), 'trough': np.float64(22955.55)}",strong_bounce(71%),"{'ll_run': 1, 'has_higher_low': False, 'retrace_pct': np.float64(0.706), 'recent_low': np.float64(22955.55), 'bounce_size': np.float64(232.2), 'n_swings_low': 2}",failed_breakout,23200,2026-03-17 15:30:00,1.18,0.00322,0.1882,95.25,166.69,57.15,0.4904,0.00161,-44.0527,5.2499,0.3634,1.88,96.67,80.31,21.83,188.02,1.42,1.49,sl_hit,2026-03-16 12:45:00,23102.65,57.15,90.0,-1.0,97.15,44.17
2026-03-17,2026-03-17 10:25:00,short,PE,23536.85,2026-03-17 10:15:00,23555.2,23500.2,2,9,PDH@23502.0,True,HIGH,ATM (delta ~0.5),23500.2,neutral,weak,0.0,strong_reversal,"{'lh_ratio': 1.0, 'hl_ratio': 0.0, 'drop_points': np.float64(76.35), 'drop_pct': np.float64(0.324), 'avg_range': np.float64(52.95), 'peak': np.float64(23576.55)}",structure_ok,"{'hh_run': 0, 'has_lower_high': False, 'retrace_pct': np.float64(0.333), 'recent_high': np.float64(23576.55), 'pullback': np.float64(76.35), 'n_swings_high': 0}",failed_breakout,23500,2026-03-17 15:30:00,0.21,0.00058,0.1925,42.91,75.09,25.74,-0.495,0.003662,-100.5282,2.2575,-0.0677,1.87,56.8,16.22,0.05,178.26,13.89,32.38,sl_hit,2026-03-17 10:45:00,23523.0,25.74,20.0,-1.0,57.56,24.13
2026-03-17,2026-03-17 11:10:00,short,PE,23576.55,2026-03-17 11:10:00,23576.55,23470.55,5,5,,True,MEDIUM,ATM,23470.55,neutral,moderate,21.37,type_B_swing,"{'tested': 'TDH', 'hl_diff': np.float64(42.650390625)}",structure_reversed_LH_confirmed,"{'hh_run': 0, 'has_lower_high': True, 'retrace_pct': np.float64(0.463), 'recent_high': np.float64(23576.55), 'pullback': np.float64(106.0), 'n_swings_high': 2}",swing_high_rejection,23450,2026-03-17 15:30:00,0.18,0.00049,0.1925,30.3,53.02,18.18,-0.4151,0.003881,-106.7474,2.0345,-0.0483,1.88,47.37,8.46,0.05,157.68,17.07,56.36,target_hit,2026-03-17 11:20:00,23412.75,53.02,10.0,1.875,56.58,30.3
2026-03-17,2026-03-17 12:25:00,long,CE,23347.4,2026-03-17 12:25:00,23347.4,23406.85,5,5,,True,MEDIUM,ATM,23406.85,neutral,strong,46.66,type_B_swing,"{'tested': 'TDL', 'hl_diff': np.float64(20.3515625)}",structure_reversed_HL_confirmed,"{'ll_run': 0, 'has_higher_low': True, 'retrace_pct': np.float64(0.259), 'recent_low': np.float64(23347.4), 'bounce_size': np.float64(59.45), 'n_swings_low': 3}",swing_low_reclaim,23400,2026-03-17 15:30:00,0.13,0.00035,0.1925,37.54,65.69,22.52,0.5356,0.004702,-133.0501,1.7443,0.044,1.88,64.06,23.67,0.05,183.08,26.52,70.67,target_hit,2026-03-17 12:45:00,23484.35,65.69,20.0,1.874,85.82,37.05
2026-03-18,2026-03-18 15:15:00,short,PE,23861.8,2026-03-18 15:15:00,23861.8,23766.8,5,5,,True,MEDIUM,ATM,23766.8,bearish,strong,33.5,type_B_swing,"{'tested': 'TDH', 'hl_diff': np.float64(52.0)}",structure_reversed_LH_confirmed,"{'hh_run': 0, 'has_lower_high': True, 'retrace_pct': np.float64(0.942), 'recent_high': np.float64(23861.8), 'pullback': np.float64(95.0), 'n_swings_high': 4}",swing_high_rejection,23750,2026-03-24 15:30:00,6.01,0.01646,0.1723,188.68,330.19,113.21,-0.4631,0.000756,-15.3313,12.1109,-1.8423,1.87,187.96,181.73,118.83,268.34,-0.72,-0.38,no_data,,23766.8,188.68,0.0,0.0,188.68,188.68
2026-03-19,2026-03-19 13:35:00,long,CE,23194.7,2026-03-19 13:20:00,23181.8,23204.5,3,5,,True,MEDIUM,ATM,23204.5,bearish,moderate,23.01,strong_reversal,"{'hh_ratio': 0.5, 'lh_ratio': 0.5, 'rise_points': np.float64(31.95), 'rise_pct': np.float64(0.138), 'avg_range': np.float64(24.63), 'trough': np.float64(23172.55)}",structure_reversed_HL_confirmed,"{'ll_run': 0, 'has_higher_low': True, 'retrace_pct': np.float64(0.22), 'recent_low': np.float64(23172.55), 'bounce_size': np.float64(31.95), 'n_swings_low': 3}",failed_breakout,23200,2026-03-24 15:30:00,5.08,0.01391,0.1755,204.74,358.3,122.84,0.5257,0.000829,-21.0175,10.8946,1.668,1.87,205.99,199.03,124.04,291.62,1.25,0.61,sl_hit,2026-03-19 14:50:00,23033.5,122.84,75.0,-1.0,204.74,121.25
2026-03-23,2026-03-23 10:35:00,long,CE,22554.1,2026-03-23 10:20:00,22538.5,22557.95,3,5,,True,MEDIUM,ATM,22557.95,bearish,moderate,18.67,strong_reversal,"{'hh_ratio': 1.0, 'lh_ratio': 0.0, 'rise_points': np.float64(28.1), 'rise_pct': np.float64(0.125), 'avg_range': np.float64(34.43), 'trough': np.float64(22529.85)}",structure_ok,"{'ll_run': 0, 'has_higher_low': False, 'retrace_pct': np.float64(0.091), 'recent_low': np.float64(22529.85), 'bounce_size': np.float64(28.1), 'n_swings_low': 0}",failed_breakout,22550,2026-03-24 15:30:00,1.2,0.0033,0.2024,111.16,194.53,66.7,0.5219,0.001519,-45.5026,5.1609,0.3847,1.88,112.72,95.83,28.06,214.01,1.56,1.4,time_stop,2026-03-23 12:05:00,22547.75,88.85,90.0,-0.502,111.16,80.6
