date,signal_time,direction,option_type,broken_level,breakout_time,breakout_price,reversal_price,speed_candles,confluence_score,nearby_levels,volume_ok,conviction,strike_hint,nifty_spot,trend_dir,trend_strength,adx,rev_quality,rev_metrics,day_structure,struct_metrics,trigger_type
2026-02-26,2026-02-26 15:05:00,long,CE,25428.2,2026-02-26 15:05:00,25428.2,25503.3,5,12,"PDL@25428.2, PWL@25372.7",True,HIGH,ATM (delta ~0.5),25503.3,bullish,weak,16.1,type_B_swing,"{'tested': 'PDL', 'hl_diff': np.float64(20.849609375)}",structure_reversed_HL_confirmed,"{'ll_run': 0, 'has_higher_low': True, 'retrace_pct': np.float64(0.81), 'recent_low': np.float64(25401.6), 'bounce_size': np.float64(101.7), 'n_swings_low': 5}",swing_low_reclaim
2026-03-02,2026-03-02 14:05:00,long,CE,24718.55,2026-03-02 12:35:00,24691.5,24746.5,18,7,PML@24679.4,True,MEDIUM,ATM,24746.5,bullish,strong,57.69,strong_reversal,"{'hh_ratio': 1.0, 'lh_ratio': 0.0, 'rise_points': np.float64(142.55), 'rise_pct': np.float64(0.579), 'avg_range': np.float64(115.83), 'trough': np.float64(24603.95)}",strong_bounce(54%),"{'ll_run': 1, 'has_higher_low': False, 'retrace_pct': np.float64(0.538), 'recent_low': np.float64(24603.95), 'bounce_size': np.float64(142.55), 'n_swings_low': 2}",failed_breakout
2026-03-02,2026-03-02 14:45:00,long,CE,24679.4,2026-03-02 14:45:00,24679.4,24872.15,5,7,PML@24679.4,True,HIGH,ATM (delta ~0.5),24872.15,bullish,strong,36.51,type_B_swing,"{'tested': 'PML', 'hl_diff': np.float64(118.55078125)}",structure_reversed_HL_confirmed,"{'ll_run': 0, 'has_higher_low': True, 'retrace_pct': np.float64(0.93), 'recent_low': np.float64(24603.95), 'bounce_size': np.float64(268.2), 'n_swings_low': 3}",swing_low_reclaim
2026-03-04,2026-03-04 15:05:00,short,PE,24476.7,2026-03-04 14:05:00,24496.2,24472.2,12,5,,True,MEDIUM,ATM,24472.2,neutral,strong,45.14,strong_reversal,"{'lh_ratio': 1.0, 'hl_ratio': 0.0, 'drop_points': np.float64(129.8), 'drop_pct': np.float64(0.528), 'avg_range': np.float64(51.97), 'peak': np.float64(24602.0)}",strong_pullback(53%),"{'hh_run': 1, 'has_lower_high': False, 'retrace_pct': np.float64(0.531), 'recent_high': np.float64(24602.0), 'pullback': np.float64(129.8), 'n_swings_high': 4}",failed_breakout
2026-03-04,2026-03-04 15:05:00,short,PE,24496.2,2026-03-04 14:10:00,24556.45,24472.2,11,5,,True,MEDIUM,ATM,24472.2,neutral,strong,45.14,strong_reversal,"{'lh_ratio': 1.0, 'hl_ratio': 0.0, 'drop_points': np.float64(129.8), 'drop_pct': np.float64(0.528), 'avg_range': np.float64(51.97), 'peak': np.float64(24602.0)}",strong_pullback(53%),"{'hh_run': 1, 'has_lower_high': False, 'retrace_pct': np.float64(0.531), 'recent_high': np.float64(24602.0), 'pullback': np.float64(129.8), 'n_swings_high': 4}",failed_breakout
2026-03-06,2026-03-06 11:20:00,short,PE,24688.1,2026-03-06 11:20:00,24688.1,24600.15,5,7,PML@24679.4,True,HIGH,ATM (delta ~0.5),24600.15,neutral,moderate,23.93,type_B_swing,"{'tested': 'TDH', 'hl_diff': np.float64(26.951171875)}",structure_reversed_LH_confirmed,"{'hh_run': 0, 'has_lower_high': True, 'retrace_pct': np.float64(0.783), 'recent_high': np.float64(24688.1), 'pullback': np.float64(87.95), 'n_swings_high': 3}",swing_high_rejection
2026-03-06,2026-03-06 11:45:00,long,CE,24575.75,2026-03-06 11:45:00,24575.75,24632.45,5,9,PDL@24529.4,True,HIGH,ATM (delta ~0.5),24632.45,neutral,strong,26.6,type_B_swing,"{'tested': 'TDL', 'hl_diff': np.float64(18.150390625)}",structure_reversed_HL_confirmed,"{'ll_run': 0, 'has_higher_low': True, 'retrace_pct': np.float64(0.505), 'recent_low': np.float64(24575.75), 'bounce_size': np.float64(56.7), 'n_swings_low': 3}",swing_low_reclaim
2026-03-06,2026-03-06 14:05:00,long,CE,24569.95,2026-03-06 13:55:00,24553.95,24584.9,2,9,PDL@24529.4,True,HIGH,ATM (delta ~0.5),24584.9,bearish,moderate,22.84,strong_reversal,"{'hh_ratio': 1.0, 'lh_ratio': 0.0, 'rise_points': np.float64(41.1), 'rise_pct': np.float64(0.167), 'avg_range': np.float64(29.3), 'trough': np.float64(24543.8)}",strong_bounce(37%),"{'ll_run': 1, 'has_higher_low': False, 'retrace_pct': np.float64(0.371), 'recent_low': np.float64(24543.8), 'bounce_size': np.float64(41.1), 'n_swings_low': 2}",failed_breakout
2026-03-12,2026-03-12 11:15:00,short,PE,23719.8,2026-03-12 10:55:00,23741.6,23696.9,4,5,,True,MEDIUM,ATM,23696.9,bullish,moderate,22.56,strong_reversal,"{'lh_ratio': 1.0, 'hl_ratio': 0.5, 'drop_points': np.float64(76.75), 'drop_pct': np.float64(0.323), 'avg_range': np.float64(48.47), 'peak': np.float64(23773.65)}",strong_pullback(36%),"{'hh_run': 0, 'has_lower_high': False, 'retrace_pct': np.float64(0.356), 'recent_high': np.float64(23773.65), 'pullback': np.float64(76.75), 'n_swings_high': 1}",failed_breakout
2026-03-16,2026-03-16 10:35:00,long,CE,23055.75,2026-03-16 10:25:00,23024.95,23057.7,2,12,"PDL@23112.0, PWL@23112.0",True,VERY HIGH,ITM-1 (deep delta ~0.6),23057.7,bearish,weak,7.9,strong_reversal,"{'hh_ratio': 1.0, 'lh_ratio': 0.0, 'rise_points': np.float64(32.75), 'rise_pct': np.float64(0.142), 'avg_range': np.float64(42.5), 'trough': np.float64(23024.95)}",structure_ok,"{'ll_run': 0, 'has_higher_low': False, 'retrace_pct': np.float64(0.126), 'recent_low': np.float64(23024.95), 'bounce_size': np.float64(32.75), 'n_swings_low': 0}",failed_breakout
